,harga_emas
2025-12-18,1170315.5455
2025-12-19,1173207.3015
2025-12-22,1172426.0548
2025-12-23,1170762.3332
2025-12-24,1174639.1124
2025-12-25,1173209.1765
2025-12-26,1177055.9405
2025-12-29,1180342.1894
2025-12-30,1180412.0541
2025-12-31,1176510.0992
2026-01-01,1178801.04
2026-01-02,1179715.0997
2026-01-05,1178250.0741
2026-01-06,1179736.7633
2026-01-07,1180198.535
2026-01-08,1184931.2215
2026-01-09,1185016.2346
2026-01-12,1183582.1938
2026-01-13,1180551.3611
2026-01-14,1179882.2177
2026-01-15,1179782.4968
2026-01-16,1176356.5063
2026-01-19,1170487.8874
2026-01-20,1170624.9957
2026-01-21,1169218.1729
2026-01-22,1170230.1165
2026-01-23,1166581.2681
2026-01-26,1166461.3513
2026-01-27,1167862.6304
2026-01-28,1173516.5071
2026-01-29,1168821.7554
2026-01-30,1166729.395
2026-02-02,1164563.1737
2026-02-03,1166778.7813
2026-02-04,1164392.3315
2026-02-05,1165005.9302
2026-02-06,1172691.5062
2026-02-09,1169903.2423
2026-02-10,1168138.6859
2026-02-11,1166559.3645
2026-02-12,1170047.6433
2026-02-13,1171888.3837
