tanggal,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi,new_cases,new_deaths
2021-10-07,918000,14316.23,14173.78,0.0166,3.5,1393.0,81.0
2021-10-08,914000,14309.19,14166.81,0.0166,3.5,1384.0,66.0
2021-10-09,914000,,,0.0166,3.5,1167.0,52.0
2021-10-10,914000,,,0.0166,3.5,894.0,39.0
2021-10-11,914000,14296.13,14153.88,0.0166,3.5,620.0,65.0
2021-10-12,912000,14281.05,14138.95,0.0166,3.5,1261.0,47.0
2021-10-13,916000,14288.09,14145.92,0.0166,3.5,1233.0,48.0
2021-10-14,928000,14292.11,14149.9,0.0166,3.5,1053.0,37.0
2021-10-15,926000,14225.78,14084.23,0.0166,3.5,915.0,41.0
2021-10-16,914000,,,0.0166,3.5,997.0,44.0
2021-10-17,914000,,,0.0166,3.5,747.0,19.0
2021-10-18,915000,14154.42,14013.58,0.0166,3.5,626.0,47.0
2021-10-19,915000,14166.48,14025.52,0.0166,3.5,903.0,50.0
2021-10-20,916000,,,0.0166,3.5,914.0,28.0
2021-10-21,921000,14150.4,14009.6,0.0166,3.5,633.0,43.0
2021-10-22,925000,14203.67,14062.34,0.0166,3.5,760.0,33.0
2021-10-23,928000,,,0.0166,3.5,802.0,23.0
2021-10-24,928000,,,0.0166,3.5,623.0,29.0
2021-10-25,929000,14232.81,14091.19,0.0166,3.5,460.0,30.0
2021-10-26,934000,14253.92,14112.09,0.0166,3.5,611.0,35.0
2021-10-27,929000,14235.83,14094.18,0.0166,3.5,719.0,29.0
2021-10-28,930000,14254.92,14113.08,0.0166,3.5,723.0,34.0
2021-10-29,931000,14270.0,14128.01,0.0166,3.5,683.0,28.0
2021-10-30,925000,,,0.0166,3.5,620.0,27.0
2021-10-31,925000,,,0.0166,3.5,523.0,17.0
2021-11-01,924000,14241.86,14100.15,0.0175,3.5,403.0,18.0
2021-11-02,930000,14306.18,14163.83,0.0175,3.5,612.0,34.0
2021-11-03,929000,14332.31,14189.7,0.0175,3.5,801.0,24.0
2021-11-04,927000,14372.51,14229.5,0.0175,3.5,628.0,19.0
2021-11-05,934000,14398.64,14255.37,0.0175,3.5,518.0,19.0
2021-11-06,946000,,,0.0175,3.5,401.0,15.0
2021-11-07,946000,,,0.0175,3.5,444.0,11.0
2021-11-08,945000,14445.87,14302.13,0.0175,3.5,244.0,12.0
2021-11-09,943000,14339.34,14196.66,0.0175,3.5,434.0,21.0
2021-11-10,943000,14304.17,14161.84,0.0175,3.5,480.0,14.0
2021-11-11,951000,14324.27,14181.74,0.0175,3.5,435.0,16.0
2021-11-12,956000,14359.44,14216.56,0.0175,3.5,399.0,20.0
2021-11-13,955000,,,0.0175,3.5,359.0,16.0
2021-11-14,955000,,,0.0175,3.5,339.0,15.0
2021-11-15,955000,14314.22,14171.79,0.0175,3.5,221.0,11.0
2021-11-16,952000,14277.03,14134.97,0.0175,3.5,347.0,15.0
2021-11-17,948000,14282.06,14139.95,0.0175,3.5,522.0,13.0
2021-11-18,956000,14330.3,14187.71,0.0175,3.5,400.0,11.0
2021-11-19,953000,14302.16,14159.85,0.0175,3.5,360.0,5.0
2021-11-20,947000,,,0.0175,3.5,393.0,14.0
2021-11-21,947000,,,0.0175,3.5,314.0,11.0
2021-11-22,947000,14308.19,14165.82,0.0175,3.5,186.0,5.0
2021-11-23,935000,14326.28,14183.73,0.0175,3.5,394.0,9.0
2021-11-24,929000,14343.36,14200.64,0.0175,3.5,451.0,13.0
2021-11-25,929000,14343.36,14200.64,0.0175,3.5,372.0,16.0
2021-11-26,930000,14351.4,14208.6,0.0175,3.5,453.0,14.0
2021-11-27,929000,,,0.0175,3.5,404.0,11.0
2021-11-28,929000,,,0.0175,3.5,264.0,1.0
2021-11-29,930000,14351.4,14208.6,0.0175,3.5,176.0,11.0
2021-11-30,930000,14411.7,14268.3,0.0175,3.5,297.0,11.0
2021-12-01,925000,14391.6,14248.4,0.0187,3.5,278.0,10.0
2021-12-02,929000,14424.77,14281.24,0.0187,3.5,311.0,10.0
2021-12-03,926000,14449.89,14306.11,0.0187,3.5,245.0,8.0
2021-12-04,932000,,,0.0187,3.5,246.0,5.0
2021-12-05,932000,,,0.0187,3.5,196.0,4.0
2021-12-06,932000,14480.04,14335.96,0.0187,3.5,130.0,9.0
2021-12-07,933000,14513.21,14368.8,0.0187,3.5,261.0,17.0
2021-12-08,933000,14480.04,14335.96,0.0187,3.5,264.0,16.0
2021-12-09,930000,14419.74,14276.26,0.0187,3.5,220.0,9.0
2021-12-10,927000,14422.76,14279.25,0.0187,3.5,192.0,5.0
2021-12-11,930000,,,0.0187,3.5,228.0,6.0
2021-12-12,930000,,,0.0187,3.5,163.0,7.0
2021-12-13,930000,14449.89,14306.11,0.0187,3.5,106.0,12.0
2021-12-14,929000,14417.73,14274.27,0.0187,3.5,190.0,12.0
2021-12-15,924000,14419.74,14276.26,0.0187,3.5,205.0,9.0
2021-12-16,927000,14408.69,14265.32,0.0187,3.5,213.0,10.0
2021-12-17,934000,14414.72,14271.29,0.0187,3.5,291.0,7.0
2021-12-18,934000,,,0.0187,3.5,232.0,12.0
2021-12-19,934000,,,0.0187,3.5,164.0,4.0
2021-12-20,935000,14414.72,14271.29,0.0187,3.5,133.0,11.0
2021-12-21,934000,14455.92,14312.08,0.0187,3.5,216.0,11.0
